number,name,region,weight,height,type1,type2,height,Evolution,Evolution2,Evolution3,Evolution4,Evolution5,Evolution6,Evolution7,Evolution8,EV Method,EV Method2,EV Method3,EV Method4,EV Method5,EV Method6,EV Method7,EV Method8,EV Stage,"R,B,Y","G,S,C","R,S,E","FR,LG","D,P,P","HG,SS","B,W,B2,W2","X,Y","OR,AS","S,M,US,UM","LGP,LGE","S,S",Entry Red,Entry Blue,Entry Yellow,Entry Gold,Entry Silver,Entry Crystal,Entry Ruby,Entry Saphire,Entry Emerald,Entry Fire Red,Entry Leaf Green,Entry Diamond,Entry Pearl,Entry Platinum,Entry Heart Gold,Entry Soul Silver,Entry Black,Entry White,Entry Black 2,Entry White 2,Entry X,Entry Y,Entry Omega Ruby,Entry Alpha Saphire,Entry Sun,Entry Moon,Entry Ultra Sun,Entry Ultra Moon,Entry Let's Go Pikachu,Entry Let's Go Eevee,Entry Sword,Entry Shield
372,shelgon,Hoenn,243.6,"3'07""",dragon,,3.07,salamence,,,,,,,,50,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,salamence,Hoenn,226.2,"4'11""",dragon,flying,4.11,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,beldum,Hoenn,209.9,"2'00""",steel,psychic,2,metang,,,,,,,,20,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,metang,Hoenn,446.4,"3'11""",steel,psychic,3.11,metagross,,,,,,,,45,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,metagross,Hoenn,1212.5,"5'03""",steel,psychic,5.03,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,regirock,Hoenn,507.1,"5'07""",rock,,5.07,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,regice,Hoenn,385.8,"5'11""",ice,,5.11,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,registeel,Hoenn,451.9,"6'03""",steel,,6.03,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,latias,Hoenn,88.2,"4'07""",dragon,psychic,4.07,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,latios,Hoenn,132.3,"6'07""",dragon,psychic,6.07,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,kyogre,Hoenn,776,"14'09""",water,,14.09,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,groudon,Hoenn,2094.4,"11'06""",ground,,11.06,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,rayquaza,Hoenn,455.2,"23'00""",dragon,flying,23,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,jirachi,Hoenn,2.4,"1'00""",steel,psychic,1,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,deoxys,Hoenn,134,"5'07""",psychic,,5.07,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,turtwig,Sinnoh,22.5,"1'04""",grass,,1.04,grotle,,,,,,,,18,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,grotle,Sinnoh,213.8,"3'07""",grass,,3.07,torterra,,,,,,,,32,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,torterra,Sinnoh,683.4,"7'03""",grass,ground,7.03,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,chimchar,Sinnoh,13.7,"1'08""",fire,,1.08,monferno,,,,,,,,14,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,monferno,Sinnoh,48.5,"2'11""",fire,fighting,2.11,infernape,,,,,,,,36,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,infernape,Sinnoh,121.3,"3'11""",fire,fighting,3.11,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,piplup,Sinnoh,11.5,"1'04""",water,,1.04,prinplup,,,,,,,,16,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,prinplup,Sinnoh,50.7,"2'07""",water,,2.07,empoleon,,,,,,,,36,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,empoleon,Sinnoh,186.3,"5'07""",water,steel,5.07,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,starly,Sinnoh,4.4,"1'00""",normal,flying,1,staravia,,,,,,,,14,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,staravia,Sinnoh,34.2,"2'00""",normal,flying,2,staraptor,,,,,,,,34,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,staraptor,Sinnoh,54.9,"3'11""",normal,flying,3.11,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,bidoof,Sinnoh,44.1,"1'08""",normal,,1.08,bibarel,,,,,,,,15,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,bibarel,Sinnoh,69.4,"3'03""",normal,water,3.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,kricketot,Sinnoh,4.9,"1'00""",bug,,1,kricketune,,,,,,,,10,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,kricketune,Sinnoh,56.2,"3'03""",bug,,3.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,shinx,Sinnoh,20.9,"1'08""",electric,,1.08,luxio,,,,,,,,15,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,luxio,Sinnoh,67.2,"2'11""",electric,,2.11,luxray,,,,,,,,30,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,luxray,Sinnoh,92.6,"4'07""",electric,,4.07,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,budew,Sinnoh,2.6,"0'08""",grass,poison,0.08,roselia,,,,,,,,lvl+ with friendship at day,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,roserade,Sinnoh,32,"2'11""",grass,poison,2.11,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,cranidos,Sinnoh,69.4,"2'11""",rock,,2.11,rampardos,,,,,,,,30,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,rampardos,Sinnoh,226,"5'03""",rock,,5.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,shieldon,Sinnoh,125.7,"1'08""",rock,steel,1.08,bastiodon,,,,,,,,30,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,bastiodon,Sinnoh,329.6,"4'03""",rock,steel,4.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,burmy,Sinnoh,7.5,"0'08""",bug,,0.08,wormadam,mothim,,,,,,,20 female,20 male,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,wormadam,Sinnoh,14.3,"1'08""",bug,grass,1.08,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413.1,wormadam,Sinnoh,14.3,"1'08""",bug,ground,1.08,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413.2,wormadam,Sinnoh,14.3,"1'08""",bug,steel,1.08,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,mothim,Sinnoh,51.4,"2'11""",bug,flying,2.11,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,combee,Sinnoh,12.1,"1'00""",bug,flying,1,vespiquen,,,,,,,,21 female,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,vespiquen,Sinnoh,84.9,"3'11""",bug,flying,3.11,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,pachirisu,Sinnoh,8.6,"1'04""",electric,,1.04,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,buizel,Sinnoh,65,"2'04""",water,,2.04,floatzel,,,,,,,,26,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,floatzel,Sinnoh,73.9,"3'07""",water,,3.07,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,cherubi,Sinnoh,7.3,"1'04""",grass,,1.04,cherrim,,,,,,,,25,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,cherrim,Sinnoh,20.5,"1'08""",grass,,1.08,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,shellos,Sinnoh,13.9,"1'00""",water,,1,gastrodon,,,,,,,,30,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,gastrodon,Sinnoh,65.9,"2'11""",water,ground,2.11,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,ambipom,Sinnoh,44.8,"3'11""",normal,,3.11,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,drifloon,Sinnoh,2.6,"1'04""",ghost,flying,1.04,drifblim,,,,,,,,28,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,drifblim,Sinnoh,33.1,"3'11""",ghost,flying,3.11,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,buneary,Sinnoh,12.1,"1'04""",normal,,1.04,lopunny,,,,,,,,lvl+ with friendship,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,lopunny,Sinnoh,73.4,"3'11""",normal,,3.11,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,mismagius,Sinnoh,9.7,"2'11""",ghost,,2.11,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,honchkrow,Sinnoh,60.2,"2'11""",dark,flying,2.11,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,glameow,Sinnoh,8.6,"1'08""",normal,,1.08,purugly,,,,,,,,38,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,purugly,Sinnoh,96.6,"3'03""",normal,,3.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,chingling,Sinnoh,1.3,"0'08""",psychic,,0.08,chimecho,,,,,,,,lvl+ with friendship at night,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,stunky,Sinnoh,42.3,"1'04""",poison,dark,1.04,skuntank,,,,,,,,34,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,skuntank,Sinnoh,83.8,"3'03""",poison,dark,3.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,bronzor,Sinnoh,133.4,"1'08""",steel,psychic,1.08,bronzong,,,,,,,,33,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,bronzong,Sinnoh,412.3,"4'03""",steel,psychic,4.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,bonsly,Sinnoh,33.1,"1'08""",rock,,1.08,sudowoodo,,,,,,,,lvl+ with mimic,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,mime jr.,Sinnoh,28.7,"2'00""",psychic,fairy,2,mr. mime,mr. mime,,,,,,,lvl+ with mimic,lvl+ with mimic in Galar,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,happiny,Sinnoh,53.8,"2'00""",normal,,2,chansey,,,,,,,,lvl+ with oval stone at day,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,chatot,Sinnoh,4.2,"1'08""",normal,flying,1.08,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,spiritomb,Sinnoh,238.1,"3'03""",ghost,dark,3.03,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,gible,Sinnoh,45.2,"2'04""",dragon,ground,2.04,gabite,,,,,,,,24,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,gabite,Sinnoh,123.5,"4'07""",dragon,ground,4.07,garchomp,,,,,,,,48,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,garchomp,Sinnoh,209.4,"6'03""",dragon,ground,6.03,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,munchlax,Sinnoh,231.5,"2'00""",normal,,2,snorlax,,,,,,,,lvl+ with friendship,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,riolu,Sinnoh,44.5,"2'04""",fighting,,2.04,lucario,,,,,,,,lvl+ with friendship at day,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,lucario,Sinnoh,119,"3'11""",fighting,steel,3.11,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,hippopotas,Sinnoh,109.1,"2'07""",ground,,2.07,hippowdon,,,,,,,,34,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,hippowdon,Sinnoh,661.4,"6'07""",ground,,6.07,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,skorupi,Sinnoh,26.5,"2'07""",poison,bug,2.07,drapion,,,,,,,,40,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,drapion,Sinnoh,135.6,"4'03""",poison,dark,4.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,croagunk,Sinnoh,50.7,"2'04""",poison,fighting,2.04,toxicroak,,,,,,,,37,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,toxicroak,Sinnoh,97.9,"4'03""",poison,fighting,4.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,carnivine,Sinnoh,59.5,"4'07""",grass,,4.07,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,finneon,Sinnoh,15.4,"1'04""",water,,1.04,lumineon,,,,,,,,31,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,lumineon,Sinnoh,52.9,"3'11""",water,,3.11,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,mantyke,Sinnoh,143.3,"3'03""",water,flying,3.03,mantine,,,,,,,,lvl+ with remoraid in team,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,snover,Sinnoh,111.3,"3'03""",grass,ice,3.03,abomasnow,,,,,,,,40,,,,,,,,1,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,abomasnow,Sinnoh,298.7,"7'03""",grass,ice,7.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,weavile,Sinnoh,75,"3'07""",dark,ice,3.07,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,magnezone,Sinnoh,396.8,"3'11""",electric,steel,3.11,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,lickilicky,Sinnoh,308.6,"5'07""",normal,,5.07,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,rhyperior,Sinnoh,623.5,"7'10""",ground,rock,7.1,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,tangrowth,Sinnoh,283.5,"6'07""",grass,,6.07,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,electrivire,Sinnoh,305.6,"5'11""",electric,,5.11,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,magmortar,Sinnoh,149.9,"5'03""",fire,,5.03,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,togekiss,Sinnoh,83.8,"4'11""",fairy,flying,4.11,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,yanmega,Sinnoh,113.5,"6'03""",bug,flying,6.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,leafeon,Sinnoh,56.2,"3'03""",grass,,3.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,glaceon,Sinnoh,57.1,"2'07""",ice,,2.07,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,gliscor,Sinnoh,93.7,"6'07""",ground,flying,6.07,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,mamoswine,Sinnoh,641.5,"8'02""",ice,ground,8.02,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,porygon-Z,Sinnoh,75,"2'11""",normal,,2.11,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,gallade,Sinnoh,114.6,"5'03""",psychic,fighting,5.03,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,probopass,Sinnoh,749.6,"4'07""",rock,steel,4.07,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,dusknoir,Sinnoh,235,"7'03""",ghost,,7.03,,,,,,,,,,,,,,,,,3,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,froslass,Sinnoh,58.6,"4'03""",ice,ghost,4.03,,,,,,,,,,,,,,,,,2,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,rotom,Sinnoh,0.7,"1'00""",electric,ghost,1,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479.1,rotom,Sinnoh,0.7,"1'00""",electric,fire,1,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479.2,rotom,Sinnoh,0.7,"1'00""",electric,water,1,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479.3,rotom,Sinnoh,0.7,"1'00""",electric,ice,1,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479.4,rotom,Sinnoh,0.7,"1'00""",electric,flying,1,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479.5,rotom,Sinnoh,0.7,"1'00""",electric,grass,1,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,uxie,Sinnoh,0.7,"1'00""",psychic,,1,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,mesprit,Sinnoh,0.7,"1'00""",psychic,,1,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,azelf,Sinnoh,0.7,"1'00""",psychic,,1,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,dialga,Sinnoh,1505.7,"17'09""",steel,dragon,17.09,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,palkia,Sinnoh,740.7,"13'09""",water,dragon,13.09,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,heatran,Sinnoh,948,"5'07""",fire,steel,5.07,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,regigigas,Sinnoh,925.9,"12'02""",normal,,12.02,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,giratina,Sinnoh,1653.4,"14'09""",ghost,dragon,14.09,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487.1,giratina,Sinnoh,1433,"22'08""",ghost,dragon,22.08,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,cresselia,Sinnoh,188.7,"4'11""",psychic,,4.11,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,phione,Sinnoh,6.8,"1'04""",water,,1.04,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,manaphy,Sinnoh,3.1,"1'00""",water,,1,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,darkrai,Sinnoh,111.3,"4'11""",dark,,4.11,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,shaymin,Sinnoh,4.6,"0'08""",grass,,0.08,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492.1,shaymin,Sinnoh,11.5,"1'04""",grass,flying,1.04,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,arceus,Sinnoh,705.5,"10'06""",normal,,10.06,,,,,,,,,,,,,,,,,0,N,N,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,victini,Unova,8.8,"1'04""",psychic,fire,1.04,,,,,,,,,,,,,,,,,0,N,N,N,,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,snivy,Unova,17.9,"2'00""",grass,,2,servine,,,,,,,,17,,,,,,,,1,N,N,N,,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
